,"Momentum(AAPL,20d)","MeanReversion(AAPL,20d,z>1.0)","SMACross(AAPL,20/50)","RSI(AAPL,14d,buy<30)","BollingerBreakout(AAPL,20d,k=2.0)",BuyHold(AAPL),EqualWeight(SMA20>50),"InverseVol(SMA20>50,vol60d)",EW_Universe(passive),BM1_SMACross(20/50),"BM2_TopK_Mom(30d,K=10)","NEW1_TopKLongMomInvVol(L90,K8)","NEW2_RegimeMom(L60,K10,50/200)"
2022-06-17,924271.7191760234,1010182.1870235784,911001.9421912486,886075.382295295,900787.0396966739,746312.6843657817,738165.1804357662,765536.7891250758,780769.5775183581,738165.1804357662,706542.4925870446,843961.5994426497,1000000.0
2022-06-21,924271.7191760234,1043276.4803199575,911001.9421912486,915103.847616766,900787.0396966739,770762.4234172908,760667.1297376059,787034.7560599337,798630.834931249,760667.1297376059,723903.8296698263,873305.7488976638,1000000.0
2022-06-22,924271.7191760234,1043276.4803199575,911001.9421912486,911601.5733784446,900787.0396966739,767812.5709099161,750090.1603168816,778105.5293266915,797397.027161535,750090.1603168816,721056.4815818346,866743.7879944353,1000000.0
2022-06-23,924271.7191760234,1043276.4803199575,911001.9421912486,931268.1902551722,900787.0396966739,784377.1272974813,749586.8337891005,776612.2106798941,811440.5786581901,749586.8337891005,747159.3909459892,879472.9047302677,1000000.0
2022-06-24,924271.7191760234,1043276.4803199575,911001.9421912486,954100.3242319208,900787.0396966739,803607.8965282505,771417.8562830903,798045.0178259308,840845.2795118385,771417.8562830903,770546.6570705759,896299.2616842418,1000000.0
2022-06-27,924271.7191760234,1043276.4803199575,911001.9421912486,954100.3242319208,900787.0396966739,803607.8965282505,766588.6696443171,792710.9667911937,833673.6294759254,766588.6696443171,749250.8493955586,891578.3601033849,1000000.0
2022-06-28,924271.7191760234,1043276.4803199575,911001.9421912486,925678.02175939,900787.0396966739,779668.7088722487,749934.6091318408,775630.731044768,810928.7414875487,749934.6091318408,720896.3850341775,874881.7249100016,1000000.0
2022-06-29,924271.7191760234,1043276.4803199575,911001.9421912486,937733.9273105345,900787.0396966739,789823.0088495575,747110.7196716183,775758.5709754693,807671.7033385073,747110.7196716183,724536.9832205146,879904.1180593868,1000000.0
2022-06-30,924271.7191760234,1043276.4803199575,911001.9421912486,920828.7189678681,900787.0396966739,775584.2977081914,741733.6008869209,771629.495844139,797955.6359485189,741733.6008869209,711877.4785707433,879732.2798076081,1000000.0
2022-07-01,924271.7191760234,1043276.4803199575,911001.9421912486,935713.3844807339,900787.0396966739,788121.1708645337,748470.8160971606,778697.868869837,804318.8144477215,748470.8160971606,729465.9118471137,893316.6459398238,1000000.0
2022-07-05,924271.7191760234,1043276.4803199575,911001.9421912486,953426.8099553206,900787.0396966739,803040.6171999093,749788.9599329833,779032.2529505164,814411.1110082286,749788.9599329833,759262.263293549,888979.4326206654,1000000.0
2022-07-06,924271.7191760234,1043276.4803199575,911001.9421912486,962586.6041170838,900787.0396966739,810755.6160653505,745906.3166451727,778279.3379992483,815370.0178517323,745906.3166451727,749537.9148839216,889135.8650964794,1000000.0
2022-07-07,924271.7191760234,1043276.4803199575,911001.9421912486,985688.1438044726,900787.0396966739,830213.2970274562,755221.9183463816,786578.4255276725,834901.2939197071,755221.9183463816,761690.963448026,890346.5492585873,1000000.0
2022-07-08,924271.7191760234,1043276.4803199575,911001.9421912486,990335.3923130144,900787.0396966739,834127.5243930111,753515.7071753361,786047.3371794865,835296.1834689246,753515.7071753361,765524.8077115561,891236.6722136558,1000000.0
2022-07-11,924271.7191760234,1043276.4803199575,911001.9421912486,990335.3923130144,900787.0396966739,821817.5629680054,736109.8706822983,773515.3213176284,818238.4437994129,736109.8706822983,730918.171229805,882338.7390152686,1000000.0
2022-07-12,930587.9268241512,1043276.4803199575,911001.9421912486,990335.3923130144,900787.0396966739,827433.6283185842,725504.078887762,763516.191516164,810031.4704102844,725504.078887762,706649.6281050267,877979.1654289872,1000000.0
2022-07-13,928227.3239657601,1043276.4803199575,911001.9421912486,990335.3923130144,900787.0396966739,825334.6948037214,724135.8588606066,762203.3731050021,808623.8517668304,724135.8588606066,703914.165272719,876370.8418431485,1000000.0
2022-07-14,947239.746987397,1043276.4803199575,911001.9421912486,990335.3923130144,900787.0396966739,842239.6187882914,718742.9592222713,759784.3367125334,807069.3735218813,718742.9592222713,692699.4646913264,873678.5775696451,1000000.0
2022-07-15,958085.7601205455,1043276.4803199575,911001.9421912486,990335.3923130144,900787.0396966739,851883.367370093,733939.9326619857,775212.2034329302,823853.2169254522,733939.9326619857,703085.4095069183,876741.3872679085,1000000.0
2022-07-18,938307.7361718627,1043276.4803199575,911001.9421912486,990335.3923130144,900787.0396966739,834297.7081915135,726435.1774906116,765062.7478166359,820020.7254849899,726435.1774906116,691421.6427193995,863390.8368354853,1000000.0
2022-07-19,963381.1665326123,1043276.4803199575,911001.9421912486,990335.3923130144,900787.0396966739,856591.7857953255,744911.4563402168,783352.8433887024,847406.2496162377,744911.4563402168,703297.216375233,885020.3465313998,1000000.0
2022-07-20,976396.3822923906,1043276.4803199575,911001.9421912486,990335.3923130144,900787.0396966739,868164.2840934875,756175.858093134,789840.2254695195,862856.8476796427,756175.858093134,714791.9559051208,878275.9138611379,1000000.0
2022-07-21,991134.2001380218,1043276.4803199575,924752.6902731997,990335.3923130144,900787.0396966739,881268.436578171,766169.9227120243,797472.2881154368,873703.3145945424,766169.9227120243,723281.7000820102,884100.7297518895,1000000.0
2022-07-22,983095.3904040412,1043276.4803199575,917252.2822284992,990335.3923130144,893481.0102791148,874120.717041071,752493.4828132235,788258.5406457668,858567.7290406658,752493.4828132235,706338.4792399798,874047.4375423831,1000000.0
2022-07-25,975822.1815971062,1043276.4803199575,910466.1987594843,990335.3923130144,886870.7931870375,867653.7326979804,746574.7318228552,784853.1559100619,855586.067528811,746574.7318228552,698704.1866371093,877069.3838817735,1000000.0
2022-07-26,967209.1711678411,1043276.4803199575,902430.0472830195,990335.3923130144,879042.904525367,859995.4617653732,730359.5604469167,774131.3491534835,839926.100147209,730359.5604469167,680552.0709352578,872782.4753676418,1000000.0
2022-07-27,1000321.4112625712,1043276.4803199575,933324.5851814289,990335.3923130144,909136.7876024557,889437.2589062854,755267.7588930245,794904.1823988322,870999.0888132193,755267.7588930245,707904.1222036425,880500.660096343,1000000.0
2022-07-28,1003894.215588785,1043276.4803199575,936658.0998679625,990335.3923130144,912383.9117880375,892614.0231449966,764384.6614065669,805138.3991664612,883133.6782328892,764384.6614065669,718120.6265565788,888666.4670642492,1000000.0
2022-07-29,1036815.0554517537,1043276.4803199575,967374.0566224505,990335.3923130144,942303.8417837558,921885.6364874063,772069.4699978614,811810.4863611505,890775.3803933272,772069.4699978614,725762.6766668834,894609.0569794811,1000000.0
2022-08-01,1030435.0477263721,1043276.4803199575,961421.351825069,990335.3923130144,936505.405738074,916212.8432039935,770487.6937176617,810471.912516492,890080.194690875,770487.6937176617,719449.9185122221,889617.3370569517,1000000.0
2022-08-02,1020865.0361382999,1043276.4803199575,952492.294628997,990335.3923130144,927807.7516695512,907703.6532788745,773061.4100239846,809939.9658071519,892775.5704826233,773061.4100239846,721668.8869110559,883498.9658456118,1000000.0
2022-08-03,1059910.6834176348,1043276.4803199575,988922.8479889712,990335.3923130144,963294.1802691241,942421.1481733605,800523.7743126611,833228.8018170674,919296.5979877091,800523.7743126611,746429.7829795632,889198.3351356665,1000000.0
